rating,comment
5,"Màu sắc:trắng
Đúng với mô tả:đúng
Chất liệu:hông bít

đỉnk lắm luôn á, chất vải dày dặn cầm nặng tay, form đẹp, có tag đầy đủ vs lại áo nhà outerity hơi to nên mik m64 đặt size M là rộng đúng kiểu mik thích rồi, ns chung ưng cái bụng😽😽"
5,Đã mua lần 2!  Đóng gói ok nha!! Mẫu hơi bị xịn nha mn !! Nên mua nha! Ship nhanh lắm !!  5sao cho sự chuyên nghiệp này!!😘
4,Áo đẹp nên mua nhà.sjhkiebameuqp..'ưhwjwidhdswrifboiuq
4,"Màu sắc:trắng
Đúng với mô tả:????
Chất liệu:?????

với giá đó thì mik thấy chất vải vậy khá ổn nhưng mik mong đc nhiều hơn"
5,"Chất liệu:côttn
Màu sắc:trắng
Đúng với mô tả:đúng

Áo rất đẹp.Shop rep tn thân thiện và dethw cực lun í mn mún tư vấn j cứ ib shop shop lúc nào cx rep tn mn. Shop cb áo hơi lâu chc do dịp tết nên mn đặt nhiều mà áo về form rất ưng mà áo bên shop khá rộng và dài mik m58 48kg mặc qa mông  size M nhe mn lưu ý khi mua.Mn nên mua nhe áo rất đẹp"
5,"Chất liệu:vải :)))
Màu sắc:trắng

Áo siêu đẹp luôn mn ơi :333 rất rất nên mua nha 🤩🤩 chất vải siêu xịn siêu đẹp lun aaaaa~ >< sờ vào thik mê .
Mình 1m6 mặc trùm mông nha from rộng siêu đẹp lun😍😍😍"
5,"Chất liệu:ko bt
Màu sắc:trắng

Áo đẹp vải mịn mát độ dày vừa phải, giao hàng nhanh tầm 2-3 ngayg là tới."
5,"Chất liệu:ok
Màu sắc:như mẫu
Đúng với mô tả:ok

Sp chất lượng
Mong shop có thêm giấy thơm cho áo bớt mùi
Mình đặt sz L nhưng mà hơi to nhé
Nên mua"
5,"Chất liệu:thun co dãn tốt
Màu sắc:đúng với mô tả
Đúng với mô tả:đúng zạy

Đẹp tốt chỉ là phần cổ dễ bị nhão nó dãn cực kì luôn ý"
5,Fan cứng của shop ạ áo đẹp mà vừa in lunnn ạ ❤️ giao hàng cũng nhanh nữa . Sau vẫn tiếp tục ủng hộ shop ạ🥹
5,"Áo xinh lắm hihi mình cao 1m65 mặc size L chùm mông hơi dài cơ mà vẫn xinh
Lần đầu mua của shop mà ưng lắm nhé 😗
Sẽ ủng hộ shop thêm nhìu lần nhaaaaa"
5,Lần đầu mua local brand này thì hơi thất vọng chút thiết kế kiểu dáng rất đẹp nhưng khi mở ra thì chữ sau lưng bị dính vào nhau chất vải là phần thất vọng vs mình ko phải là chất cotton hoàn toàn nma cx khá mát nhưng ch thật sự xứng đáng cho 183k còn shop rep tn nhiệt tình mog cải thiện chất vải
5,"Chất liệu:thun
Màu sắc:trắng
Đúng với mô tả:đẹp khỏi chỗ chê mn ơi tư vấn rất tốt ạ em mua shop nhiều lần rồi lần nào cũng hài lòng"
5,"Áo đẹp nên mua nha mọi người, đường may với hình in chắn chắn, mình đặt 2 size S đẹp lắm nha, vải mát và không quá lộ đâu. Giao hàng nhanh, cho shop 5 sao."
5,"Chất liệu:8/10

Nchung mọi thứ bthg, ổn cũng kh chê gì với mức giá local br như vậy. 
Tiếc mỗi nhiều lúc có áo hết size s :)))"
4,"áo đẹp xiu, nhma chắc gấp vào lâu qa nên hoi nếp gấp hơi rõ, ncl giao k nhanh lam nhung ma đẹp lắm nha, mình m45 37kg mac size m qa mông nhe"
5,"Chất liệu:tHun
Màu sắc:trắng
Đúng với mô tả:đúng

Áo đẹp lắm ạ. Shop nói chuyện thân thiện. Nhiệt tình."
5,"Vải xịn ok lúm mn, form to nên cân nhắc khi chọn size nha (m 1m58 mặc S phủ mông). Với giá ntn thì 10/10 khum có j để chê ạ 😘"
5,"Áo đẹp lắm ạ vãi mịn nha mang rất mát 
From to lắm lun em mua 3 áo được tặng quà nữa nhe 🙆‍♀️ 
Giao hàng cũng khá nhanh 
Vừa túi tiền nên mua nhé mn đừng bỏ lỡ 
Có dịp sẽ ủng hộ"
5,"Chất liệu:vải
Màu sắc:đen,trắng
Đúng với mô tả:yes

Vải áo thì OK rồi nhưng shop ko kèm theo giấy thơm về mở hàng hơi sặc mùi với lại logo sau lưng áo đen hơi bẩn vì dính lông vải nhưng ko sao"
5,"Lên đúng form rộng tui thích lun, tem tag mac siu hiinj hog . Form chữ phá cách đấy chớ hông phải nếp đâu anh em. Chất sờ cũng mát cầm lên tay cũng đầm khum có chỉ thừa nói chung săn sale giá này quá trời oke nhen"
5,Áo đẹp hình in rõ nét. Logo xịn chắc chắn mong shop sẽ cải thiện chất lượng cổ áo hơn❤️
5,"🔹 Bảng size Outerity
S : Dài 69 Rộng 52.5 | 1m45 - 1m58, Dưới 50Kg
M : Dài 73 Rộng 55 | 1m55 - 1m65, 45 - 65Kg
L: Dài : 76.5 Rộng: 57.5 | 1m65 - 1m8, 60Kg - 80Kg
👉 Nếu chưa biết lựa size bạn có thể inbox để được chúng mình tư vấn.

🔹 Chính sách đổi trả Outerity.
– Miễn phí đổi hàng cho khách mua"
5,"Áo đẹp lấm nha
Mình m5 mặc size S là trùm mông lun í
Nói chung là tuỵt…"
5,"Vải áo mát và mịn, k có chỉ thừa. Ai cao m62 nặng 48kg đổ lại thì mng nên đặt size M nhé, mình mua size L về rộng quá huhu"
5,Áo rất đẹp nên mua ạ vd và hình ảnh chỉ mang tính minh họa......
5,"Màu sắc:trắng

Áo xinh, vải dày mặc mát kh nóng,chất liệu tốt,shipper quen nên giao hàng rất dễ aaa"
5,"Màu sắc:trắng

vải sịn lắm mng ơi ,đáng tiền với hs, hình in bao sịn,logo thêu chắc chắn"
5,"áo đẹp lắm giao nhanh nữa mà đặt dùm nên kh biết sao 
hdhdnennxdjdnndndjdndndnnxxnddnnxndjrjelaajwkxnndjdjdjdjdndn"
5,"Chất liệu:cotton
Màu sắc:trắng,dám
Đúng với mô tả:ok

Áo đẹp nha mn.Cổ áo ver3 đẹp và cứng cáp hơn rất nhiều"
5,"Đúng với mô tả:đúng như mô tả
Chất liệu:coton
Màu sắc:trắng

Đẹp vải ok 10₫ mãi yêu outerity"
5,"Áo đẹp lắm nha ,nhưng mà cổ áo sợ bị giãn nè,nói chung là cho 5sao"
5,"Đẹp lắm mn , đóng hàng chưa đc đẹp cho lắm nhưng áo xuất sắc nha mn nên mua"
5,Sản phẩm đẹp đóng gói cẩn thận có giấy thơm quá ưng sẽ ủng hộ shop tiếp
5,Kmkklla akqq aLlaamaMkahsvs z n I h vshsiqhqvbaKPmz nzKK k xvzjkkmanaKKkN znzhxhdjajahhdherhhrhrurieoapamMZ nxbjaakkansbsbajKKMmznxndnshegrgehdisoakmaMMnzbznkakala
5,"Sản phẩm tuỵt zoi, giao nhanhh quá xịn xò cho 10₫ đánh giá 5sao"
5,Áo đẹp chất vải cx oki hợp vs giá tiền giao hàng nhanh lắm nhaaa
5,"Chất liệu:vải đẹp mềm
Màu sắc:trắng
Đúng với mô tả:đúng

Hàng giao về rất đẹp lúc đầu đặt sz L nhưng may đổi lại sz M m65 mặc có vẻ hơi dài 
Shop cực kì nhiệt tình"
4,"Áo đẹp mà form k rộng vải với giá cũng tạm ổn 
Mình pass 3 áo còn lại ib shoppe mình nha"
5,"Áo siu đẹp lun, vải xịn, mát nữa. Với giá như vậy thì hợp lý, có điều giao hơi lâu xíu. 10000/10"
5,Brand này giá rẻ mà chất lượng lắm ạ vải tốt nói chung là rất tuyệt ạ giao hơn lâu tí nhưng không sao vì thiết kế áo vải đẹp tốt m65 mặc size XL xinh lắm ạ
5,"Hàng rất đẹp ạ em mua của shop lần thứ 2 rồi ý
Đóng hàng cẩn thận."
5,"áo sịn lém,mình m55,56 gì đấy mặc size M đẹp kiểu oversize ấy,vải đẹp,mát,hình in mình k chắc là nó có bong hay không ,áo k có giấy thơm nên hơi thất vọng một xí,do dịch nên hơn 1 tháng mình mới nhậnd được 😭"
5,"Vải rất đẹp nha mọi người nên mua nhá ,lần sau em sẽ ghé ủng hộ shop nhiều hơn ạ"
5,Hàng về lâu nhưng đổi lại sản phẩm tốt chất cotton co dãn nên mua nha mn
5,Áo xịn quá nhưng em em chả biết nói gì mãi yêu shop luôn á nha love
5,Mình moiiws mua lần đầu mà ngoái wuwcs tưởng tượng vì  với giá 135k chất áo vừa mát và đjep nhwac chứ j
5,"Áo đẹp lắm luôn ạ vải mát cầm nặng tay nhưng mà mình đặt nhầm size😞 m68 muốn mặc rộng thì nên mặc size L nhaa
Dịch giao hàng hơi lâu được cái shop rep tin nhắn nhanh lắm🥰"
5,Áo chất lượng vải tốt ko quá mỏng hình in chắc chắn có điều ko bt phải kỉu nó v hay sao nhưng phần cổ của mình hơi bị dãn 1 sí giao hàng cực kì cực kì nhanh lun í nói chung tốt 5 saooo(hình ảnh mang tính chất nhận xu)
5,Mik cao m62 40kg đặt size S vẫn còn hơi rộng ạ. Chất vải rất tốt ko một chỉ thừa lun. Mn nên mua về mặc nhaa🥰
5,"Áo xịn lắm.ạ
Dễ phối đồ
ງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະງາມອະ
Hình ảmh chỉ mang tính chất nhận xu thuiiii ạ"
5,Sản phẩm tốt giao hàng nhanh vải tốt lắm ạ size S có trùm mông luôn sẽ ủng hộ shop lâu dài ạ shipper vui vẻ
5,áo xinh chất đay dặn sẽ ủng hôh shop nhiều lần hơn nưqz sieu đỉnh lin
5,"Áo xinhh ,vải đẹp, thơm nhưng mà size S hơi nhỏ với tuổi huhu:("
5,"Chất liệu:áO đẹp đáng mua mẫu jn  rất đẹp sẽ ủọo oj
Màu sắc:màu trắng hơi bị sợ dơnnjsnmhunwnss"
5,"Màu sắc:Trắng
Đúng với mô tả:có

chất vải mát, đúng với hình, nên mua nhaaaaaa mọii người"
5,"Áo đẹp lắm luôn
Vải không mỏng mặc mát 
Với giá tiền này thì áo cực kì chất lượng
Nên mua nha"
5,Áo siuuuuuuu xinhhhhhhhhhhhhhhhhhhhhhhhhhhh aaaaaaaaaaaaa
5,Ảnh mang tính chất nhận xu hoi nha áo vải rất ok nên mua nha mọi người mỗi tội mình có 1m50 nên ló hơi dài xíu nha giá gất hợp lí
5,"Chất liệu:vải
Màu sắc:trắng
Đúng với mô tả:đúng vs mô tả

Áo lên from rất đẹp nha , hơi nhăn xíu , local giá phải chăng lên ko đòi hỏi chất liệu sịn , đág mua"
5,"nói chung là outerity không bao giờ làm bạn thất vọng😘😘
sẽ ủng hộ outerity dài dài:3"
5,Áo đẹp. Vải mát. Tuyệt vời. Nhưng mà sao ai đặt áo cũng có giấy thơm lừng mà tui dặt chả bao giờ có nhỉ. Huhu. Bùn. Nhưng vẫn cho shop 5 sao ok chưa :)))
5,"Áo đẹp chất vải cotton 4 chiều mặc áo mát thoải mái 
Kênh TikTok của mik là tuanduy2k9 nha"
5,Áo đẹp nhưng mà hình đằng sau bị nhăn nhiều giao hàng nhanh.!!!!!?
5,"Chất liệu:ỗn
Màu sắc:trắng
Đúng với mô tả:đúng

Mình mua dùm nên không biết sao. Thấy vải ổn lắm. Nhưng mà thấy hơi rộng. Mong là bạn mình mặc vừa"
5,vải cũng bình thường mềm ship nhanh mặc dù ở tỉnh lẻ nên mua vì là lcbr mà rẻ
5,"Chất liệu:vải
Màu sắc:trắng
Đúng với mô tả:√

1m53 mà lỡ đặt size M roii dài quá, áo đẹp vải êm nha mấy bạn m5 mua S thôi size M bự lắm mặc như bơi trong áo lun😭"
5,"Áo chữ đen vải dày dặn sờ mát tay hơn áo chữ hồng. Nói chung cả 2 đều xinh, thơm. Nên mua nha mn"
5,"Chất vải ok, thoáng, quá ok với tầm giá này thì chất lượng là phải, giao hàng nhanh quá k kịp chuẩn bị tiền"
5,hình ảnh mang tính chất nhận xu abhabsjbsjsbbsjsbnshbsjsjjs
5,"Mua áo của shop lần thứ n mà vẫn siêu ưng ý
Qua tuyệt vời nhdmakhajwbxnjdjansbbssjdbsbjajansbbdb"
5,Vải đẹp mát mà size hơi rộng so với trước mua size S mà mặc rộng quá tr
5,"bé gấu của tui dễ thưn lắm nè:333
Đen<33333
                        iu
                               bé
                                       Đen"
5,"Áo rất đẹp lun. Vải kh mỏng đâu 1m63 42kg mặc M trùm mông ,giao hàng nhanh ncl rất okee"
5,ổn nma vải kh như ý làm tại mấy lầm mua shop khác vải ổn hơn nma với giá này kh đòi hỏi nhiều
5,Hàng xịn chất lượng làm chất áo đẹp lắm nhé nên mua giá cả cũng hợp lí thích lắm shop ơi
5,https://shopee.vn/product/333009696/10754845190?smtt=0.333029271-1633353670.9Nhấn vào một đoạn để dán vào hộp văn bản.Chạm và giữ một đoạn để ghim đoạn đó. Các đoạn đã bỏ ghim sẽ bị xóa sau 1 giờ.
5,"Chất liệu:đẹp
Màu sắc:trắng
Đúng với mô tả:đúng

Rất đẹp đáng tiền hehehehehe"
5,Hahhahahah thật tuyệt vời hahahaha tuyệt quá thế mới là hảo hán
5,"dịch nên giao khá lâu , chất lượng trên cả tuyệt vời , shop tâm lí lắm luôn"
5,những như luc mới mẻ nhậu không e mới dậy á anh em đi làm về rồi anh ơi tiền đâu có đâu e mày không biết nói tiếng anh lớp bẩy tập một tập hợp
5,"Hình ảnh chỉ mang tính chất nhận xu:>>
Áo vải đẹp có điều cổ áo mới nhận về bị xù lông. Mk mua size s to lắm:<<"
5,"Giao hàng nhanh
Hình ảnh và video chỉ mang tính chất nhận xu:3"
5,"Chất liệu:vải mềm mại
Màu sắc:trắng
Đúng với mô tả:trong ảnh

Vải đẹp, tuy nhiên 1m50 sẽ hơi dài"
5,Hàng đẹp chất đẹp đánh đồng tiền tuyệt vời ông mặt trời 1000 điểm luôn ý
5,Màu áo không được ưng lắm nhưng vẫn oke nha hhhhhhhhhhhhhhhhh
5,áo ngắn hơn mik nghĩ nhưng cũng nên mua nha mik m62 mặc mông ai muốn mặc rộng và dai thì chọn size L nha ( mik lười chụp ạ xin thông cảm nha )
